first,last,address,city,state,zip,county,phone,child 1,child 2
1,2,3,4,5,6,7,8,"first first first last, first dob","second first second last, second dob"
first,last,address,city,state,zip,county,phone
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Nate,Schmitt,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"paul last, 2010-01-01","joe smith, 2018-05-05"
first,last,address,city,state,zip,county,phone,child 1
Nate,Schmitt,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"Hi Loser, 2012-12-12"
Nate,Schmitt,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"Hi Loser, 2012-12-12"
Nate,Schmitt,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"joe mom, 2019-01-01"
Nate,Schmitt,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"joe mom, 2019-01-01"
Nate,Schmitt,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"keenan kel, 2019-01-01"
Nate,Schmitt,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"ad daf, 2019-10-16"
Nate,Schmit,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"kid kiderson, 2016-01-01"
Nate,Schmit,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"jack johnson, 1561-01-01"
Nate,Schmit,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"asdf asdfa, 2019-10-16"
first,last,address,city,state,zip,county,phone,child 1
Nate,Schmit,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"asdf asdfa, 2019-10-16"
Nate,Schmit,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"adsf adsfas, 2019-10-07"
first,last,address,city,state,zip,county,phone,child 1
Nate,Schmit,123 Main St.,Cincinnati,OH,12345,Milford,123-456-7890,"asd asd, 2012-12-12"
first,last,dob,address,city,state,zip,county,phone,child 1
JOHN,DOE,11/14/2019,1234 Address,CITY NAME,CA,12345-1234,USA,undefined,"aefdas asdfas, 11/3/2019"
first,last,dob,address,city,state,zip,county,phone,child 1
asdfs,asfasd,11/1/2019,sdfasd,sdafsd,AZ,54545,asdafdsd,505060515,"aasdf sdafsd, 11/5/2019"
